Word,Status,FileName
Will,ok,a01-000x-04-08
Griffiths,ok,a01-000x-04-09
",",ok,a01-000x-04-10
P,ok,a01-000x-05-00
for,ok,a01-000x-05-01
Manchester,ok,a01-000x-05-02
Exchange,ok,a01-000x-05-03
.,ok,a01-000x-05-04
Though,ok,a01-003-00-00
they,ok,a01-003-00-01
may,ok,a01-003-00-02
gather,ok,a01-003-00-03
some,ok,a01-003-00-04
Left-wing,ok,a01-003-00-05
support,ok,a01-003-00-06
",",ok,a01-003-00-07
a,ok,a01-003-00-08
large,ok,a01-003-01-00
majority,ok,a01-003-01-01
of,ok,a01-003-01-02
Labour,ok,a01-003-01-03
Ps,ok,a01-003-01-04
are,ok,a01-003-01-05
likely,ok,a01-003-01-06
to,ok,a01-003-01-07
turn,ok,a01-003-02-00
down,ok,a01-003-02-01
the,ok,a01-003-02-02
Foot-Griffiths,ok,a01-003-02-03
resolution,ok,a01-003-02-04
.,ok,a01-003-02-05
Mr.,ok,a01-003-02-06
Foot's,ok,a01-003-03-00
line,ok,a01-003-03-01
will,ok,a01-003-03-02
be,ok,a01-003-03-03
that,ok,a01-003-03-04
as,ok,a01-003-03-05
Labour,ok,a01-003-03-06
Ps,ok,a01-003-03-07
opposed,ok,a01-003-04-00
the,ok,a01-003-04-01
Government,ok,a01-003-04-02
Bill,ok,a01-003-04-03
which,ok,a01-003-04-04
brought,ok,a01-003-04-05
life,ok,a01-003-05-00
peers,ok,a01-003-05-01
into,ok,a01-003-05-02
existence,ok,a01-003-05-03
",",ok,a01-003-05-04
they,ok,a01-003-05-05
should,ok,a01-003-05-06
not,ok,a01-003-05-07
now,ok,a01-003-06-00
put,ok,a01-003-06-01
forward,ok,a01-003-06-02
nominees,ok,a01-003-06-03
.,ok,a01-003-06-04
He,ok,a01-003-06-05
believes,ok,a01-003-06-06
that,ok,a01-003-07-00
the,ok,a01-003-07-01
House,ok,a01-003-07-02
of,ok,a01-003-07-03
Lords,ok,a01-003-07-04
should,ok,a01-003-07-05
be,ok,a01-003-07-06
abolished,ok,a01-003-07-07
and,ok,a01-003-08-00
that,ok,a01-003-08-01
Labour,ok,a01-003-08-02
should,ok,a01-003-08-03
not,ok,a01-003-08-04
take,ok,a01-003-08-05
any,ok,a01-003-08-06
steps,ok,a01-003-08-07
institution,ok,a01-003-10-00
.,ok,a01-003-10-01
Though,ok,a01-003u-00-00
they,ok,a01-003u-00-01
may,ok,a01-003u-00-02
gather,ok,a01-003u-00-03
some,ok,a01-003u-00-04
Left-wing,ok,a01-003u-00-05
support,ok,a01-003u-01-00
",",ok,a01-003u-01-01
a,ok,a01-003u-01-02
large,ok,a01-003u-01-03
majority,ok,a01-003u-01-04
of,ok,a01-003u-01-05
Labour,ok,a01-003u-01-06
Ps,ok,a01-003u-02-00
are,ok,a01-003u-02-01
likely,ok,a01-003u-02-02
to,ok,a01-003u-02-03
turn,ok,a01-003u-02-04
down,ok,a01-003u-02-05
the,ok,a01-003u-02-06
Foot-,ok,a01-003u-02-07
be,ok,a01-003u-04-00
that,ok,a01-003u-04-01
as,ok,a01-003u-04-02
Labour,ok,a01-003u-04-03
Ps,ok,a01-003u-04-04
opposed,ok,a01-003u-04-05
the,ok,a01-003u-04-06
Government,ok,a01-003u-05-00
Bill,ok,a01-003u-05-01
which,ok,a01-003u-05-02
brought,ok,a01-003u-05-03
life,ok,a01-003u-05-04
peers,ok,a01-003u-05-05
into,ok,a01-003u-06-00
existence,ok,a01-003u-06-01
",",ok,a01-003u-06-02
they,ok,a01-003u-06-03
should,ok,a01-003u-06-04
not,ok,a01-003u-06-05
now,ok,a01-003u-06-06
put,ok,a01-003u-06-07
forward,ok,a01-003u-07-00
nominees,ok,a01-003u-07-01
.,ok,a01-003u-07-02
He,ok,a01-003u-07-03
believes,ok,a01-003u-07-04
that,ok,a01-003u-07-05
the,ok,a01-003u-07-06
House,ok,a01-003u-08-00
of,ok,a01-003u-08-01
Lords,ok,a01-003u-08-02
should,ok,a01-003u-08-03
be,ok,a01-003u-08-04
abolished,ok,a01-003u-08-05
and,ok,a01-003u-08-06
that,ok,a01-003u-09-00
Labour,ok,a01-003u-09-01
should,ok,a01-003u-09-02
not,ok,a01-003u-09-03
take,ok,a01-003u-09-04
any,ok,a01-003u-09-05
steps,ok,a01-003u-09-06
which,ok,a01-003u-10-00
would,ok,a01-003u-10-01
appear,ok,a01-003u-10-02
to,ok,a01-003u-10-03
"""",ok,a01-003u-10-04
prop,ok,a01-003u-10-05
up,ok,a01-003u-10-06
"""",ok,a01-003u-10-07
an,ok,a01-003u-10-08
out-,ok,a01-003u-10-09
large,ok,a01-003x-01-00
majority,ok,a01-003x-01-01
of,ok,a01-003x-01-02
Labour,ok,a01-003x-01-03
Ps,ok,a01-003x-01-04
are,ok,a01-003x-01-05
likely,ok,a01-003x-01-06
to,ok,a01-003x-01-07
turn,ok,a01-003x-01-08
ment,ok,a01-003x-04-00
Bill,ok,a01-003x-04-01
which,ok,a01-003x-04-02
brought,ok,a01-003x-04-03
life,ok,a01-003x-04-04
peers,ok,a01-003x-04-05
into,ok,a01-003x-04-06
existence,ok,a01-003x-04-07
",",ok,a01-003x-04-08
they,ok,a01-003x-04-09
should,ok,a01-003x-05-00
not,ok,a01-003x-05-01
now,ok,a01-003x-05-02
put,ok,a01-003x-05-03
forward,ok,a01-003x-05-04
nominees,ok,a01-003x-05-05
.,ok,a01-003x-05-06
He,ok,a01-003x-05-07
believes,ok,a01-003x-05-08
that,ok,a01-003x-06-00
the,ok,a01-003x-06-01
House,ok,a01-003x-06-02
of,ok,a01-003x-06-03
Lords,ok,a01-003x-06-04
should,ok,a01-003x-06-05
be,ok,a01-003x-06-06
abolished,ok,a01-003x-06-07
and,ok,a01-003x-06-08
that,ok,a01-003x-07-00
Labour,ok,a01-003x-07-01
should,ok,a01-003x-07-02
not,ok,a01-003x-07-03
take,ok,a01-003x-07-04
any,ok,a01-003x-07-05
steps,ok,a01-003x-07-06
which,ok,a01-003x-07-07
would,ok,a01-003x-07-08
appear,ok,a01-003x-08-00
to,ok,a01-003x-08-01
"""",ok,a01-003x-08-02
prop,ok,a01-003x-08-03
up,ok,a01-003x-08-04
"""",ok,a01-003x-08-05
an,ok,a01-003x-08-06
out-dated,ok,a01-003x-08-07
institution,ok,a01-003x-08-08
.,ok,a01-003x-08-09
Since,ok,a01-007-00-00
1958,ok,a01-007-00-01
",",ok,a01-007-00-02
13,ok,a01-007-00-03
Labour,ok,a01-007-00-04
life,ok,a01-007-00-05
Peers,ok,a01-007-00-06
and,ok,a01-007-00-07
Peeresses,ok,a01-007-01-00
have,ok,a01-007-01-01
been,ok,a01-007-01-02
created,ok,a01-007-01-03
.,ok,a01-007-01-04
Most,ok,a01-007-01-05
Labour,ok,a01-007-01-06
sentiment,ok,a01-007-02-00
would,ok,a01-007-02-01
#,ok,a01-007-02-02
still,ok,a01-007-02-03
favour,ok,a01-007-02-04
the,ok,a01-007-02-05
abolition,ok,a01-007-02-06
of,ok,a01-007-03-00
the,ok,a01-007-03-01
House,ok,a01-007-03-02
of,ok,a01-007-03-03
Lords,ok,a01-007-03-04
",",ok,a01-007-03-05
but,ok,a01-007-03-06
while,ok,a01-007-03-07
it,ok,a01-007-03-08
remains,ok,a01-007-03-09
Labour,ok,a01-007-04-00
has,ok,a01-007-04-01
to,ok,a01-007-04-02
have,ok,a01-007-04-03
an,ok,a01-007-04-04
adequate,ok,a01-007-04-05
number,ok,a01-007-04-06
of,ok,a01-007-04-07
members,ok,a01-007-05-00
.,ok,a01-007-05-01
THE,ok,a01-007-05-02
two,ok,a01-007-05-03
rival,ok,a01-007-05-04
African,ok,a01-007-05-05
Nationalist,ok,a01-007-05-06
Parties,ok,a01-007-06-00
of,ok,a01-007-06-01
Northern,ok,a01-007-06-02
Rhodesia,ok,a01-007-06-03
have,ok,a01-007-06-04
agreed,ok,a01-007-06-05
to,ok,a01-007-06-06
get,ok,a01-007-07-00
together,ok,a01-007-07-01
to,ok,a01-007-07-02
face,ok,a01-007-07-03
the,ok,a01-007-07-04
challenge,ok,a01-007-07-05
from,ok,a01-007-07-06
Sir,ok,a01-007-07-07
Roy,ok,a01-007-08-00
Welensky,ok,a01-007-08-01
",",ok,a01-007-08-02
the,ok,a01-007-08-03
Federal,ok,a01-007-08-04
Premier,ok,a01-007-08-05
.,ok,a01-007-08-06
Since,ok,a01-007u-00-00
1958,ok,a01-007u-00-01
",",ok,a01-007u-00-02
13,ok,a01-007u-00-03
Labour,ok,a01-007u-00-04
life,ok,a01-007u-00-05
Peers,ok,a01-007u-00-06
and,ok,a01-007u-00-07
Peeresses,ok,a01-007u-01-00
have,ok,a01-007u-01-01
been,ok,a01-007u-01-02
created,ok,a01-007u-01-03
.,ok,a01-007u-01-04
Most,ok,a01-007u-01-05
Labour,ok,a01-007u-01-06
sentiment,ok,a01-007u-02-00
would,ok,a01-007u-02-01
still,ok,a01-007u-02-02
favour,ok,a01-007u-02-03
the,ok,a01-007u-02-04
abolition,ok,a01-007u-02-05
of,ok,a01-007u-03-00
the,ok,a01-007u-03-01
House,ok,a01-007u-03-02
of,ok,a01-007u-03-03
Lords,ok,a01-007u-03-04
",",ok,a01-007u-03-05
but,ok,a01-007u-03-06
while,ok,a01-007u-03-07
it,ok,a01-007u-03-08
remains,ok,a01-007u-03-09
Labour,ok,a01-007u-04-00
has,ok,a01-007u-04-01
to,ok,a01-007u-04-02
have,ok,a01-007u-04-03
an,ok,a01-007u-04-04
adequate,ok,a01-007u-04-05
number,ok,a01-007u-04-06
of,ok,a01-007u-05-00
members,ok,a01-007u-05-01
.,ok,a01-007u-05-02
THE,ok,a01-007u-05-03
two,ok,a01-007u-05-04
rival,ok,a01-007u-05-05
African,ok,a01-007u-05-06
Nationalist,ok,a01-007u-06-00
Parties,ok,a01-007u-06-01
of,ok,a01-007u-06-02
Northern,ok,a01-007u-06-03
Rhodesia,ok,a01-007u-06-04
have,ok,a01-007u-07-00
agreed,ok,a01-007u-07-01
to,ok,a01-007u-07-02
get,ok,a01-007u-07-03
together,ok,a01-007u-07-04
to,ok,a01-007u-07-05
face,ok,a01-007u-07-06
the,ok,a01-007u-08-00
challenge,ok,a01-007u-08-01
from,ok,a01-007u-08-02
Sir,ok,a01-007u-08-03
Roy,ok,a01-007u-08-04
Welensky,ok,a01-007u-08-05
",",ok,a01-007u-08-06
the,ok,a01-007u-09-00
Federal,ok,a01-007u-09-01
Premier,ok,a01-007u-09-02
.,ok,a01-007u-09-03
Since,ok,a01-007x-00-00
1958,ok,a01-007x-00-01
",",ok,a01-007x-00-02
13,ok,a01-007x-00-03
Labour,ok,a01-007x-00-04
life,ok,a01-007x-00-05
Peers,ok,a01-007x-00-06
and,ok,a01-007x-00-07
#,ok,a01-007x-00-08
Peeresses,ok,a01-007x-01-00
have,ok,a01-007x-01-01
been,ok,a01-007x-01-02
created,ok,a01-007x-01-03
.,ok,a01-007x-01-04
Most,ok,a01-007x-01-05
Labour,ok,a01-007x-01-06
sentiment,ok,a01-007x-01-07
would,ok,a01-007x-02-00
still,ok,a01-007x-02-01
favour,ok,a01-007x-02-02
the,ok,a01-007x-02-03
abolition,ok,a01-007x-02-04
of,ok,a01-007x-02-05
the,ok,a01-007x-02-06
House,ok,a01-007x-02-07
of,ok,a01-007x-03-00
Lords,ok,a01-007x-03-01
",",ok,a01-007x-03-02
but,ok,a01-007x-03-03
while,ok,a01-007x-03-04
it,ok,a01-007x-03-05
remains,ok,a01-007x-03-06
Labour,ok,a01-007x-03-07
has,ok,a01-007x-03-08
to,ok,a01-007x-03-09
have,ok,a01-007x-04-00
an,ok,a01-007x-04-01
adequate,ok,a01-007x-04-02
number,ok,a01-007x-04-03
of,ok,a01-007x-04-04
members,ok,a01-007x-04-05
.,ok,a01-007x-04-06
THE,ok,a01-007x-04-07
two,ok,a01-007x-05-00
rival,ok,a01-007x-05-01
African,ok,a01-007x-05-02
Nationalist,ok,a01-007x-05-03
Parties,ok,a01-007x-05-04
of,ok,a01-007x-05-05
Northern,ok,a01-007x-05-06
Rhodesia,ok,a01-007x-06-00
have,ok,a01-007x-06-01
agreed,ok,a01-007x-06-02
to,ok,a01-007x-06-03
get,ok,a01-007x-06-04
together,ok,a01-007x-06-05
to,ok,a01-007x-06-06
face,ok,a01-007x-06-07
the,ok,a01-007x-06-08
challenge,ok,a01-007x-07-00
from,ok,a01-007x-07-01
Sir,ok,a01-007x-07-02
Roy,ok,a01-007x-07-03
Welensky,ok,a01-007x-07-04
",",ok,a01-007x-07-05
the,ok,a01-007x-07-06
Federal,ok,a01-007x-07-07
Premier,ok,a01-007x-07-08
.,ok,a01-007x-07-09
Delegates,ok,a01-011-00-00
from,ok,a01-011-00-01
Mr.,ok,a01-011-00-02
Kenneth,ok,a01-011-00-03
Kaunda's,ok,a01-011-00-04
United,ok,a01-011-00-05
National,ok,a01-011-00-06
Independence,ok,a01-011-00-07
National,ok,a01-011-02-00
Congress,ok,a01-011-02-01
(,ok,a01-011-02-02
"4,00,000",ok,a01-011-02-03
),ok,a01-011-02-04
will,ok,a01-011-02-05
meet,ok,a01-011-02-06
in,ok,a01-011-02-07
London,ok,a01-011-02-08
today,ok,a01-011-02-09
to,ok,a01-011-03-00
discuss,ok,a01-011-03-01
a,ok,a01-011-03-02
common,ok,a01-011-03-03
course,ok,a01-011-03-04
of,ok,a01-011-03-05
action,ok,a01-011-03-06
.,ok,a01-011-03-07
Sir,ok,a01-011-03-08
Roy,ok,a01-011-03-09
is,ok,a01-011-03-10
violently,ok,a01-011-04-00
opposed,ok,a01-011-04-01
to,ok,a01-011-04-02
Africans,ok,a01-011-04-03
getting,ok,a01-011-04-04
an,ok,a01-011-04-05
elected,ok,a01-011-04-06
majority,ok,a01-011-04-07
in,ok,a01-011-05-00
Northern,ok,a01-011-05-01
Rhodesia,ok,a01-011-05-02
",",ok,a01-011-05-03
but,ok,a01-011-05-04
the,ok,a01-011-05-05
Colonial,ok,a01-011-05-06
Secretary,ok,a01-011-05-07
",",ok,a01-011-05-08
Mr.,ok,a01-011-06-00
Iain,ok,a01-011-06-01
Macleod,ok,a01-011-06-02
",",ok,a01-011-06-03
is,ok,a01-011-06-04
insisting,ok,a01-011-06-05
on,ok,a01-011-06-06
a,ok,a01-011-06-07
policy,ok,a01-011-06-08
of,ok,a01-011-06-09
change,ok,a01-011-06-10
.,ok,a01-011-06-11
Delegates,ok,a01-011u-00-00
from,ok,a01-011u-00-01
Mr.,ok,a01-011u-00-02
Kenneth,ok,a01-011u-00-03
Kaunda's,ok,a01-011u-00-04
United,ok,a01-011u-01-00
National,ok,a01-011u-01-01
Independence,ok,a01-011u-01-02
Party,ok,a01-011u-01-03
(,ok,a01-011u-02-00
"2,80,000",ok,a01-011u-02-01
members,ok,a01-011u-02-02
),ok,a01-011u-02-03
and,ok,a01-011u-02-04
Mr.,ok,a01-011u-02-05
Harry,ok,a01-011u-02-06
Nkumbula's,ok,a01-011u-02-07
African,ok,a01-011u-03-00
National,ok,a01-011u-03-01
Congress,ok,a01-011u-03-02
(,ok,a01-011u-03-03
"4,00,000",ok,a01-011u-03-04
),ok,a01-011u-03-05
will,ok,a01-011u-03-06
meet,ok,a01-011u-04-00
in,ok,a01-011u-04-01
London,ok,a01-011u-04-02
today,ok,a01-011u-04-03
to,ok,a01-011u-04-04
discuss,ok,a01-011u-04-05
a,ok,a01-011u-04-06
common,ok,a01-011u-04-07
course,ok,a01-011u-05-00
of,ok,a01-011u-05-01
action,ok,a01-011u-05-02
.,ok,a01-011u-05-03
Sir,ok,a01-011u-05-04
Roy,ok,a01-011u-05-05
is,ok,a01-011u-05-06
violently,ok,a01-011u-05-07
opposed,ok,a01-011u-06-00
to,ok,a01-011u-06-01
Africans,ok,a01-011u-06-02
getting,ok,a01-011u-06-03
an,ok,a01-011u-06-04
elected,ok,a01-011u-06-05
majority,ok,a01-011u-07-00
in,ok,a01-011u-07-01
Northern,ok,a01-011u-07-02
Rhodesia,ok,a01-011u-07-03
",",ok,a01-011u-07-04
but,ok,a01-011u-07-05
the,ok,a01-011u-07-06
Colonial,ok,a01-011u-08-00
Secretary,ok,a01-011u-08-01
",",ok,a01-011u-08-02
Mr.,ok,a01-011u-08-03
Iain,ok,a01-011u-08-04
Macleod,ok,a01-011u-08-05
",",ok,a01-011u-08-06
is,ok,a01-011u-09-00
insisting,ok,a01-011u-09-01
on,ok,a01-011u-09-02
a,ok,a01-011u-09-03
policy,ok,a01-011u-09-04
of,ok,a01-011u-09-05
change,ok,a01-011u-09-06
.,ok,a01-011u-09-07
Macleod,ok,a01-011x-08-00
",",ok,a01-011x-08-01
is,ok,a01-011x-08-02
insisting,ok,a01-011x-08-03
on,ok,a01-011x-08-04
a,ok,a01-011x-08-05
policy,ok,a01-011x-08-06
of,ok,a01-011x-08-07
change,ok,a01-011x-08-08
.,ok,a01-011x-08-09
Sir,ok,a01-014-00-00
Roy's,ok,a01-014-00-01
United,ok,a01-014-00-02
Federal,ok,a01-014-00-03
Party,ok,a01-014-00-04
is,ok,a01-014-00-05
boycotting,ok,a01-014-00-06
the,ok,a01-014-01-00
London,ok,a01-014-01-01
talks,ok,a01-014-01-02
on,ok,a01-014-01-03
the,ok,a01-014-01-04
Protectorate's,ok,a01-014-01-05
future,ok,a01-014-02-00
.,ok,a01-014-02-01
Said,ok,a01-014-02-02
Mr.,ok,a01-014-02-03
Nkumbula,ok,a01-014-02-04
last,ok,a01-014-02-05
night,ok,a01-014-02-06
:,ok,a01-014-02-07
"""",ok,a01-014-03-00
We,ok,a01-014-03-01
want,ok,a01-014-03-02
to,ok,a01-014-03-03
discuss,ok,a01-014-03-04
what,ok,a01-014-03-05
to,ok,a01-014-03-06
do,ok,a01-014-03-07
if,ok,a01-014-03-08
the,ok,a01-014-03-09
British,ok,a01-014-04-00
Government,ok,a01-014-04-01
gives,ok,a01-014-04-02
in,ok,a01-014-04-03
to,ok,a01-014-04-04
Sir,ok,a01-014-04-05
Roy,ok,a01-014-04-06
and,ok,a01-014-04-07
the,ok,a01-014-05-00
talks,ok,a01-014-05-01
fall,ok,a01-014-05-02
through,ok,a01-014-05-03
.,ok,a01-014-05-04
There,ok,a01-014-05-05
are,ok,a01-014-05-06
bound,ok,a01-014-05-07
chief,ok,a01-014-07-00
aide,ok,a01-014-07-01
",",ok,a01-014-07-02
Mr.,ok,a01-014-07-03
Julius,ok,a01-014-07-04
Greenfield,ok,a01-014-07-05
",",ok,a01-014-07-06
telephoned,ok,a01-014-07-07
his,ok,a01-014-08-00
chief,ok,a01-014-08-01
a,ok,a01-014-08-02
report,ok,a01-014-08-03
on,ok,a01-014-08-04
his,ok,a01-014-08-05
talks,ok,a01-014-08-06
with,ok,a01-014-08-07
Mr.,ok,a01-014-09-00
Macmillan,ok,a01-014-09-01
at,ok,a01-014-09-02
Chequers,ok,a01-014-09-03
.,ok,a01-014-09-04
Sir,ok,a01-014u-00-00
Roy's,ok,a01-014u-00-01
United,ok,a01-014u-00-02
Federal,ok,a01-014u-00-03
Party,ok,a01-014u-00-04
is,ok,a01-014u-00-05
boycotting,ok,a01-014u-01-00
the,ok,a01-014u-01-01
London,ok,a01-014u-01-02
talks,ok,a01-014u-01-03
on,ok,a01-014u-01-04
the,ok,a01-014u-01-05
last,ok,a01-014u-03-00
night,ok,a01-014u-03-01
:,ok,a01-014u-03-02
"""",ok,a01-014u-03-03
We,ok,a01-014u-03-04
want,ok,a01-014u-03-05
to,ok,a01-014u-03-06
discuss,ok,a01-014u-03-07
what,ok,a01-014u-03-08
to,ok,a01-014u-03-09
do,ok,a01-014u-04-00
if,ok,a01-014u-04-01
the,ok,a01-014u-04-02
British,ok,a01-014u-04-03
demonstrations,ok,a01-014u-04-04
.,ok,a01-014u-04-05
"""",ok,a01-014u-04-06
Yesterday,ok,a01-014u-05-00
Sir,ok,a01-014u-05-01
Roy's,ok,a01-014u-05-02
chief,ok,a01-014u-05-03
aide,ok,a01-014u-05-04
",",ok,a01-014u-05-05
Mr.,ok,a01-014u-05-06
Julius,ok,a01-014u-06-00
Greenfield,ok,a01-014u-06-01
",",ok,a01-014u-06-02
telephoned,ok,a01-014u-06-03
his,ok,a01-014u-06-04
chief,ok,a01-014u-06-05
a,ok,a01-014u-07-00
report,ok,a01-014u-07-01
on,ok,a01-014u-07-02
his,ok,a01-014u-07-03
talks,ok,a01-014u-07-04
with,ok,a01-014u-07-05
Mr.,ok,a01-014u-07-06
Macmillan,ok,a01-014u-07-07
at,ok,a01-014u-08-00
Chequers,ok,a01-014u-08-01
.,ok,a01-014u-08-02
Sir,ok,a01-014x-00-00
Roy's,ok,a01-014x-00-01
United,ok,a01-014x-00-02
Federal,ok,a01-014x-00-03
Party,ok,a01-014x-00-04
is,ok,a01-014x-00-05
boycotting,ok,a01-014x-00-06
the,ok,a01-014x-01-00
London,ok,a01-014x-01-01
talks,ok,a01-014x-01-02
on,ok,a01-014x-01-03
the,ok,a01-014x-01-04
Protectorate's,ok,a01-014x-01-05
future,ok,a01-014x-02-00
.,ok,a01-014x-02-01
Said,ok,a01-014x-02-02
Mr.,ok,a01-014x-02-03
Nkumbula,ok,a01-014x-02-04
last,ok,a01-014x-02-05
night,ok,a01-014x-02-06
:,ok,a01-014x-02-07
"""",ok,a01-014x-03-00
We,ok,a01-014x-03-01
want,ok,a01-014x-03-02
to,ok,a01-014x-03-03
discuss,ok,a01-014x-03-04
what,ok,a01-014x-03-05
to,ok,a01-014x-03-06
do,ok,a01-014x-03-07
if,ok,a01-014x-03-08
the,ok,a01-014x-03-09
British,ok,a01-014x-04-00
Government,ok,a01-014x-04-01
gives,ok,a01-014x-04-02
in,ok,a01-014x-04-03
to,ok,a01-014x-04-04
Sir,ok,a01-014x-04-05
Roy,ok,a01-014x-04-06
and,ok,a01-014x-05-00
the,ok,a01-014x-05-01
talks,ok,a01-014x-05-02
fall,ok,a01-014x-05-03
through,ok,a01-014x-05-04
.,ok,a01-014x-05-05
There,ok,a01-014x-05-06
are,ok,a01-014x-05-07
bound,ok,a01-014x-05-08
to,ok,a01-014x-06-00
be,ok,a01-014x-06-01
demonstrations,ok,a01-014x-06-02
.,ok,a01-014x-06-03
"""",ok,a01-014x-06-04
Yesterday,ok,a01-014x-06-05
Sir,ok,a01-014x-06-06
Roy's,ok,a01-014x-06-07
chief,ok,a01-014x-07-00
aide,ok,a01-014x-07-01
",",ok,a01-014x-07-02
Mr.,ok,a01-014x-07-03
Julius,ok,a01-014x-07-04
Greenfield,ok,a01-014x-07-05
",",ok,a01-014x-07-06
telephoned,ok,a01-014x-07-07
his,ok,a01-014x-08-00
chief,ok,a01-014x-08-01
a,ok,a01-014x-08-02
report,ok,a01-014x-08-03
on,ok,a01-014x-08-04
his,ok,a01-014x-08-05
talks,ok,a01-014x-08-06
with,ok,a01-014x-08-07
Mr.,ok,a01-014x-08-08
Macmillan,ok,a01-014x-09-00
at,ok,a01-014x-09-01
Chequers,ok,a01-014x-09-02
.,ok,a01-014x-09-03
Mr.,ok,a01-020-00-00
Macleod,ok,a01-020-00-01
went,ok,a01-020-00-02
on,ok,a01-020-00-03
with,ok,a01-020-00-04
the,ok,a01-020-00-05
conference,ok,a01-020-00-06
at,ok,a01-020-00-07
Lancaster,ok,a01-020-01-00
House,ok,a01-020-01-01
despite,ok,a01-020-01-02
the,ok,a01-020-01-03
crisis,ok,a01-020-01-04
which,ok,a01-020-01-05
had,ok,a01-020-01-06
blown,ok,a01-020-02-00
up,ok,a01-020-02-01
.,ok,a01-020-02-02
He,ok,a01-020-02-03
has,ok,a01-020-02-04
now,ok,a01-020-02-05
revealed,ok,a01-020-02-06
his,ok,a01-020-02-07
full,ok,a01-020-02-08
plans,ok,a01-020-02-09
to,ok,a01-020-03-00
the,ok,a01-020-03-01
Africans,ok,a01-020-03-02
and,ok,a01-020-03-03
Liberals,ok,a01-020-03-04
attending,ok,a01-020-03-05
.,ok,a01-020-03-06
These,ok,a01-020-03-07
plans,ok,a01-020-04-00
do,ok,a01-020-04-01
not,ok,a01-020-04-02
give,ok,a01-020-04-03
the,ok,a01-020-04-04
Africans,ok,a01-020-04-05
the,ok,a01-020-04-06
overall,ok,a01-020-04-07
majority,ok,a01-020-05-00
they,ok,a01-020-05-01
are,ok,a01-020-05-02
seeking,ok,a01-020-05-03
.,ok,a01-020-05-04
African,ok,a01-020-05-05
delegates,ok,a01-020-05-06
are,ok,a01-020-06-00
studying,ok,a01-020-06-01
them,ok,a01-020-06-02
today,ok,a01-020-06-03
.,ok,a01-020-06-04
The,ok,a01-020-06-05
conference,ok,a01-020-06-06
will,ok,a01-020-07-00
meet,ok,a01-020-07-01
to,ok,a01-020-07-02
discuss,ok,a01-020-07-03
the,ok,a01-020-07-04
function,ok,a01-020-07-05
of,ok,a01-020-07-06
a,ok,a01-020-07-07
proposed,ok,a01-020-08-00
House,ok,a01-020-08-01
of,ok,a01-020-08-02
Chiefs,ok,a01-020-08-03
.,ok,a01-020-08-04
Mr.,ok,a01-020u-00-00
Macleod,ok,a01-020u-00-01
went,ok,a01-020u-00-02
on,ok,a01-020u-00-03
with,ok,a01-020u-00-04
the,ok,a01-020u-00-05
conference,ok,a01-020u-00-06
